Entity,Code,Year,Annual CO₂ emissions (per capita)
Africa,,1750,0.0
Africa,,1760,0.0
Africa,,1770,0.0
Africa,,1780,0.0
Africa,,1790,0.0
Africa,,1800,0.0
Africa,,1801,0.0
Africa,,1802,0.0
Africa,,1803,0.0
Africa,,1804,0.0
Africa,,1805,0.0
Africa,,1806,0.0
Africa,,1807,0.0
Africa,,1808,0.0
Africa,,1809,0.0
Africa,,1810,0.0
Africa,,1811,0.0
Africa,,1812,0.0
Africa,,1813,0.0
Africa,,1814,0.0
Africa,,1815,0.0
Africa,,1816,0.0
Africa,,1817,0.0
Africa,,1818,0.0
Africa,,1819,0.0
Africa,,1820,0.0
Africa,,1821,0.0
Africa,,1822,0.0
Africa,,1823,0.0
Africa,,1824,0.0
Africa,,1825,0.0
Africa,,1826,0.0
Africa,,1827,0.0
Africa,,1828,0.0
Africa,,1829,0.0
Africa,,1830,0.0
Africa,,1831,0.0
Africa,,1832,0.0
Africa,,1833,0.0
Africa,,1834,0.0
Africa,,1835,0.0
Africa,,1836,0.0
Africa,,1837,0.0
Africa,,1838,0.0
Africa,,1839,0.0
Africa,,1840,0.0
Africa,,1841,0.0
Africa,,1842,0.0
Africa,,1843,0.0
Africa,,1844,0.0
Africa,,1845,0.0
Africa,,1846,0.0
Africa,,1847,0.0
Africa,,1848,0.0
Africa,,1849,0.0
Africa,,1850,0.0
Africa,,1851,0.0
Africa,,1852,0.0
Africa,,1853,0.0
Africa,,1854,0.0
Africa,,1855,0.0
Africa,,1856,0.0
Africa,,1857,0.0
Africa,,1858,0.0
Africa,,1859,0.0
Africa,,1860,0.0
Africa,,1861,0.0
Africa,,1862,0.0
Africa,,1863,0.0
Africa,,1864,0.0
Africa,,1865,0.0
Africa,,1866,0.0
Africa,,1867,0.0
Africa,,1868,0.0
Africa,,1869,0.0
Africa,,1870,0.0
Africa,,1871,0.0
Africa,,1872,0.0
Africa,,1873,0.0
Africa,,1874,0.0
Africa,,1875,0.0
Africa,,1876,0.0
Africa,,1877,0.0
Africa,,1878,0.0
Africa,,1879,0.0
Africa,,1880,0.0
Africa,,1881,0.0
Africa,,1882,0.0
Africa,,1883,0.0
Africa,,1884,0.00016810493
Africa,,1885,0.00027865346
Africa,,1886,0.00036027696
Africa,,1887,0.00035830968
Africa,,1888,0.00060305005
Africa,,1889,0.0009820405
Africa,,1890,0.0022003131
Africa,,1891,0.0021923848
Africa,,1892,0.0035353242
Africa,,1893,0.013219625
Africa,,1894,0.017834708
Africa,,1895,0.024409406
Africa,,1896,0.031057494
Africa,,1897,0.034764815
Africa,,1898,0.043902785
Africa,,1899,0.039936516
Africa,,1900,0.016815761
Africa,,1901,0.028121473
Africa,,1902,0.04176499
Africa,,1903,0.056402333
Africa,,1904,0.06341765
Africa,,1905,0.07276437
Africa,,1906,0.08275714
Africa,,1907,0.0909625
Africa,,1908,0.09390756
Africa,,1909,0.10735923
Africa,,1910,0.12100435
Africa,,1911,0.116731
Africa,,1912,0.123760745
Africa,,1913,0.13460414
Africa,,1914,0.13367727
Africa,,1915,0.13349853
Africa,,1916,0.15768538
Africa,,1917,0.17112114
Africa,,1918,0.16625711
Africa,,1919,0.17010342
Africa,,1920,0.18615878
Africa,,1921,0.18404068
Africa,,1922,0.15595937
Africa,,1923,0.18666829
Africa,,1924,0.19445343
Africa,,1925,0.20180704
Africa,,1926,0.21327865
Africa,,1927,0.2069944
Africa,,1928,0.21005066
Africa,,1929,0.21359752
Africa,,1930,0.19853099
Africa,,1931,0.17142504
Africa,,1932,0.15295953
Africa,,1933,0.16163766
Africa,,1934,0.18227975
Africa,,1935,0.19862159
Africa,,1936,0.21307538
Africa,,1937,0.22562651
Africa,,1938,0.23430876
Africa,,1939,0.24609981
Africa,,1940,0.25714242
Africa,,1941,0.27570948
Africa,,1942,0.2956288
Africa,,1943,0.29735428
Africa,,1944,0.3243292
Africa,,1945,0.32344264
Africa,,1946,0.32124582
Africa,,1947,0.31506482
Africa,,1948,0.32733774
Africa,,1949,0.34674028
Africa,,1950,0.41742998
Africa,,1951,0.43552738
Africa,,1952,0.46495628
Africa,,1953,0.46184626
